"sender","requestkey","data","code","result","creationtime"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,"0V1djyYUgsZMupTnGeYpzaOeyVSOud7hGRoOketmrF4","{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04""], ""pred"": ""keys-all""}}","""      (\n        kaddex.exchange.swap-exact-in\n        306433472213.466430738188\n        204.299845861214\n        [free.kishu-ken coin]\n        \""k:a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04\""\n        \""k:a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        free.kishu-ken.transfer-create\n        \""k:a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 2160155393.246993972978)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749790534"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,LyyO7p4BslnX8IF4IbwExMNODaIOgjlpudh1WR6kEik,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04""], ""pred"": ""keys-all""}}","""      (\n        kaddex.exchange.swap-exact-in\n        208.53\n        832551.8865377637\n        [coin n_e309f0fa7cf3a13f93a8da5325cdad32790d2070.heron]\n        \""k:a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04\""\n        \""k:a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        coin.transfer-create\n        \""k:a6ed2da97f6e131c7b248da428da12bbab87e34472e1863e8f796e8acb74ec04\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 1.47)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749790967"
k:51a1a6c692e7c14a083eff18bb37278ccd75b3be80fb571b7e43834af947c13b,nxK_1QN8oLpLs89lmBh7YvbBon9HMMx-Ktmv1QNbJz0,"{""user-ks"": {""keys"": [""51a1a6c692e7c14a083eff18bb37278ccd75b3be80fb571b7e43834af947c13b""], ""pred"": ""keys-all""}, ""token0Amount"": 20000, ""token1Amount"": 46.657084889536, ""token0AmountWithSlippage"": 20099.999999999996, ""token1AmountWithSlippage"": 46.423799465088}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI coin]\n            \""k:51a1a6c692e7c14a083eff18bb37278ccd75b3be80fb571b7e43834af947c13b\""\n            \""k:51a1a6c692e7c14a083eff18bb37278ccd75b3be80fb571b7e43834af947c13b\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI"", ""amount"": 20000}, {""token"": ""coin"", ""amount"": 46.657084889536}], ""status"": ""success""}","1749792370"
k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18,"4g7AKC6KwjLhz7Cd0-f5QY2fpMofgK8DF0QnvJmLl5A","{""user-ks"": {""keys"": [""740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18""], ""pred"": ""keys-all""}, ""token0Amount"": 100, ""token1Amount"": 43532.92034479841, ""token0AmountWithSlippage"": 100.499999999999, ""token1AmountWithSlippage"": 43315.25574307443}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [coin n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI]\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""coin"", ""amount"": 100}, {""token"": ""n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI"", ""amount"": {""decimal"": ""43461.876385695788""}}], ""status"": ""success""}","1749792596"
k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18,"7IfmUu-_iPc96Q07FS-sdm3bD3ZCBLbpqN7DsbPKF8Q","{""user-ks"": {""keys"": [""740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18""], ""pred"": ""keys-all""}, ""token0Amount"": 21925.936139098565, ""token1Amount"": 50, ""token0AmountWithSlippage"": 22035.56581979405, ""token1AmountWithSlippage"": 49.75}","""\n          (kaddex.exchange.swap-exact-out\n            (read-decimal 'token1Amount)\n            (read-decimal 'token0AmountWithSlippage)\n            [n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI coin]\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI"", ""amount"": {""decimal"": ""21925.936139098564""}}, {""token"": ""coin"", ""amount"": 50}], ""status"": ""success""}","1749792751"
k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18,XeULrK4r7hxqPPJRjjh5VR384pJj7ZTdWfgTzmbzZbA,"{""user-ks"": {""keys"": [""740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18""], ""pred"": ""keys-all""}, ""token0Amount"": 22054.918134977328, ""token1Amount"": 50, ""token0AmountWithSlippage"": 22165.19272565221, ""token1AmountWithSlippage"": 49.75}","""\n          (kaddex.exchange.swap-exact-out\n            (read-decimal 'token1Amount)\n            (read-decimal 'token0AmountWithSlippage)\n            [n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI coin]\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI"", ""amount"": {""decimal"": ""22054.918134977331""}}, {""token"": ""coin"", ""amount"": 50}], ""status"": ""success""}","1749792868"
k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18,"864nk5z3tHVcBoGgH_VMW_BvxWxtdfQ4Sgzrz1h1ljA","{""user-ks"": {""keys"": [""740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18""], ""pred"": ""keys-all""}, ""token0Amount"": 150, ""token1Amount"": 65364.81195403421, ""token0AmountWithSlippage"": 150.749999999999, ""token1AmountWithSlippage"": 65037.987894264035}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [coin n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI]\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            \""k:740f4028a369993684fca67a916488ece2e202cfaeb41ba7b6507fdaea6b6b18\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""coin"", ""amount"": 150}, {""token"": ""n_518dfea5f0d2abe95cbcd8956eb97f3238e274a9.AZUKI"", ""amount"": {""decimal"": ""65364.811954034207""}}], ""status"": ""success""}","1749792966"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,YIfePAZbFSVlB639NAN_bz_fbRdmOYkSSbpbjKeb8as,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc""], ""pred"": ""keys-all""}}","""      (\n        kaddex.exchange.swap-exact-in\n        993000000.0\n        117.09863098987\n        [n_625e9938ae84bdb7d190f14fc283c7a6dfc15d58.ktoshi coin]\n        \""k:d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc\""\n        \""k:d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        n_625e9938ae84bdb7d190f14fc283c7a6dfc15d58.ktoshi.transfer-create\n        \""k:d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 7000000.0)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749795047"
k:93face383ca119d68ab1cb21de1a711bd00b8e4bd47e717fceb0e78329027407,qG8XwmLaokrqWiiVa7CQTvH8O_fQ-Hhpa3iBdqi5ZDI,"{""fee-keyset"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""recipient-keyset"": {""keys"": [""d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc""], ""pred"": ""keys-all""}}","""      (\n        kaddex.exchange.swap-exact-in\n        112.278570279914\n        167968386984.3248888706\n        [coin free.kishu-ken]\n        \""k:d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc\""\n        \""k:d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc\""\n        (read-keyset \""recipient-keyset\""))\n      (\n        coin.transfer-create\n        \""k:d03410a8d553a70fe6bbfdae376e824429b4b67aa1b2c56be88a7bcfddf6acfc\""\n        \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n        (read-keyset \""fee-keyset\"") 0.791490424933)""","{""data"": ""Write succeeded"", ""status"": ""success""}","1749795462"
k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46,S64L8RD41q_4Pzc4nJhdWr5D6mucv6HnH0X0s68fLAk,"{""user-ks"": {""keys"": [""87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46""], ""pred"": ""keys-all""}, ""token0Amount"": 416.701556705965, ""token1Amount"": 0.828020099105, ""token0AmountWithSlippage"": 429.202603407143, ""token1AmountWithSlippage"": 0.803179496131}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [free.maga coin]\n            \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n            \""k:87d6b88b7cb527530e089bdb5159b3bcf60a7e4caa72a889e1d384aaac50eb46\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""free.maga"", ""amount"": 416.701556705965}, {""token"": ""coin"", ""amount"": 0.828020099105}], ""status"": ""success""}","1749811521"
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,"8zwDNGcYj_uL63hNJx8AeVY6cDVz4sUKFTClAS-UcJg","{""user-ks"": {""keys"": [""407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1""], ""pred"": ""keys-all""}, ""token0Amount"": 7.338510612856, ""token1Amount"": 1000, ""token0AmountWithSlippage"": 7.411895718984, ""token1AmountWithSlippage"": 990}","""\n          (kaddex.exchange.swap-exact-out\n            (read-decimal 'token1Amount)\n            (read-decimal 'token0AmountWithSlippage)\n            [coin free.crankk01]\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""coin"", ""amount"": 7.411213538436}, {""token"": ""free.crankk01"", ""amount"": 1000}], ""status"": ""success""}","1749796614"
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,_aOyIHNF30R6OHtiK0yltEnOQqlp7ZPn3rNnQKDhUDk,"{""user-ks"": {""keys"": [""407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1""], ""pred"": ""keys-all""}, ""token0Amount"": 7.338510612856, ""token1Amount"": 1000, ""token0AmountWithSlippage"": 7.411895718984, ""token1AmountWithSlippage"": 990}","""\n          (kaddex.exchange.swap-exact-out\n            (read-decimal 'token1Amount)\n            (read-decimal 'token0AmountWithSlippage)\n            [coin free.crankk01]\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""coin"", ""amount"": 7.338510612857}, {""token"": ""free.crankk01"", ""amount"": 1000}], ""status"": ""success""}","1749796621"
k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd,"4t-Gl5wHkNO7FjKfLT-wVsqihW_BA9lzEKwV84sWYiI","{""keyset"": {""keys"": [""d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd""], ""pred"": ""keys-all""}, ""in-amount"": 20.02, ""out-amount"": 2629.59061}","""(kaddex.exchange.swap-exact-out (read-decimal 'out-amount) (read-decimal 'in-amount) [coin free.crankk01] \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\"" \""k:d665bcfe24cd76d6d531d01d32281c4d1ec4b0ad95d48c231f99a9d2bd2ca7fd\""(read-keyset 'keyset)) ""","{""data"": [{""token"": ""coin"", ""amount"": 19.999999967525}, {""token"": ""free.crankk01"", ""amount"": 2629.59061}], ""status"": ""success""}","1749798574"
k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1,"5DGByTzFr5dVB-ZRGO0vAaATe-TdaXeniXiBBpajg3c","{""user-ks"": {""keys"": [""407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1""], ""pred"": ""keys-all""}, ""token0Amount"": 1000, ""token1Amount"": 7.324645139081, ""token0AmountWithSlippage"": 1010, ""token1AmountWithSlippage"": 7.25139868769}","""\n          (kaddex.exchange.swap-exact-in\n            (read-decimal 'token0Amount)\n            (read-decimal 'token1AmountWithSlippage)\n            [free.crankk01 coin]\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            \""k:407bffab0d4eb3dc1c5ddfc7fca923fa4fb9a07be3f32eb9f6da6114729231c1\""\n            (read-keyset 'user-ks)\n          )\n        ""","{""data"": [{""token"": ""free.crankk01"", ""amount"": 1000}, {""token"": ""coin"", ""amount"": 7.324645139081}], ""status"": ""success""}","1749785597"
